,Rank,Good,brand,price,like
0,1위,NJ1DN75A 남성 1996 에코 눕시 자켓,노스페이스,"339,000원",29850
1,2위,베이직 푸퍼_SPJPC4TC11,스파오,"63,900원",88608
2,3위,[무봉제]덕다운 심리스 미니멀 푸퍼 숏패딩_Black,라퍼지스토어,"89,900원",52022
3,4위,RDS 롱 다운 파카 블랙,커버낫,"223,200원",21031
4,5위,솔리드 무톤 자켓,도프제이슨,"158,000원",36330
5,6위,[22F/W 리뉴얼] 오버사이즈 멜톤 더플 롱 코트 네이비,파르티멘토,"99,900원",67305
6,7위,울리치 발마칸 오버 코트_Black,라퍼지스토어,"99,900원",59514
7,8위,캐시미어 블렌드 오버사이즈 싱글 코트 [블랙],무신사 스탠다드,"119,925원",34176
8,9위,원턱 와이드 스웨트팬츠 그레이,가까이 유니언즈,"36,400원",131895
9,10위,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울,후러브스아트,"36,900원",57652
10,11위,파스텔 푸퍼_SPJPC4TG01,스파오,"63,900원",59833
11,12위,프리미어 퓨어 캐시미어 발마칸 코트 [BLACK],드로우핏,"246,400원",12634
12,13위,XT-6 GTX - 블랙:에보니:루나락 / L41663500,살로몬 스포츠스타일,"280,000원",1698
13,14위,Deep One Tuck Sweat Pants [Grey],제로,"39,000원",172761
14,15위,카이만 프로 롱기장 구스 다운 점퍼 SMALL LOGO BLACK,내셔널지오그래픽,"399,000원",2480
15,16위,레스터G RDS 구스다운 여성 롱패딩 (BLACK),디스커버리 익스페디션,"399,000원",5067
16,17위,프리미어 퓨어 캐시미어 히든 싱글 코트 [BLACK],드로우핏,"219,000원",20276
17,18위,XT-6 - 블랙:블랙:팬텀 / L41086600,살로몬 스포츠스타일,"260,000원",6098
18,19위,레스터G RDS 구스다운 남성 롱패딩 (BLACK),디스커버리 익스페디션,"399,000원",1920
19,20위,오버로크 스티치 숏 부츠 (클래식 숏 II) W - 체스넛 / 1016223CHE,어그,"194,600원",6266
20,21위,[리뉴얼] 하프 터틀넥 니트 세트,수아레,"39,900원",49072
21,22위,레이만 숏기장 다운 점퍼 CARBON BLACK,내셔널지오그래픽,"279,000원",4936
22,23위,247 캐시미어 머플러 [GREY],247 서울,"27,900원",55696
23,24위,2WAY 스웻 후드 집업 (MELANGE GREY),토피,"39,000원",163756
24,25위,NC2DN72A 챌린지 에어 다운 코트,노스페이스,"395,100원",3033
25,26위,[핏더사이즈X슈펜] Seku-shi(세쿠시) 첼시 부읏츠  BYTM20W12,슈펜,"149,000원",33255
26,27위,[기모선택] 이지 와이드 데님 팬츠 그레이,굿라이프웍스,"42,000원",60848
27,28위,다운 푸퍼 숏 패딩 재킷 [블랙],무신사 스탠다드,"119,900원",18347
28,29위,1967 JET BLACK JEANS [WIDE STRAIGHT],브랜디드,"68,000원",81810
29,30위,워셔블 하찌 니트 - 11 COLOR,수아레,"39,900원",70915
30,31위,베이직 니트 체크 머플러 - 21COLOR,오드스튜디오,"25,800원",71438
31,32위,[리뉴얼 ver.][3M 신슐레이트]오리지널 M-1965 피쉬테일 파카_Original Khaki,라퍼지스토어,"99,900원",72570
32,33위,화란 세미오버 니트 블랙,엘무드,"89,900원",32232
33,34위,캐시미어 블렌드 대디 숄더 싱글 롱 코트 [블랙],무신사 스탠다드,"170,910원",15310
34,35위,UGG 로고 그래픽 클리어 미니 부츠 (클래식 클리어 미니) W - 네츄럴:블랙 / 1113190NBLC,어그,"258,000원",3585
35,36위,원턱 와이드 스웨트팬츠 블랙,가까이 유니언즈,"36,400원",37636
36,37위,(23SS) 2 TONE ARCH HOODIE GRAY,예일,"55,300원",72626
37,38위,2976 첼시부츠 스무스 블랙 / 11853001,닥터마틴,"260,000원",15968
38,39위,BLACK DOUBLE LONG GOOSE DOWN,메종미네드,"299,000원",15293
39,40위,리버서블 덤블 숏푸퍼  WHJPD1192U,후아유,"64,900원",17381
40,41위,덕다운 아르틱 후드 패딩_Black,라퍼지스토어,"128,000원",20319
41,42위,MTR 오버핏 더블 롱 코트 (블랙),쿠어,"300,600원",20123
42,43위,덕다운 미니멀 블루종 패딩_Black,라퍼지스토어,"99,800원",23724
43,44위,헤비웨이트 속기모 테이퍼드 히든 밴딩 10부 슬랙스 [블랙],무신사 스탠다드,"43,900원",10352
44,45위,22FW OVERSIZED CASHMERE BALMACAAN COAT BLACK,비슬로우,"239,200원",10819
45,46위,CROPPED HAIRY KNIT - GRASS GREEN,노매뉴얼,"101,370원",25201
46,47위,에센셜 세미 와이드 코듀로이 팬츠 크림,굿라이프웍스,"42,000원",21806
47,48위,씬에어(THINAIR)ECO LITE_Black,케이투,"305,000원",7427
48,49위,데일리 코듀로이 밴딩 팬츠 - 4 COLOR,수아레,"39,900원",19436
49,50위,WALLABEE 26155515,클락스,"258,000원",12386
50,51위,폴카1 패딩 슬리퍼 2-PACK,23.65,"69,900원",9424
51,52위,와이드 히든 밴딩 슬랙스 [블랙],무신사 스탠다드,"35,615원",79603
52,53위,카라 케이블 니트 집업 블랙,굿라이프웍스,"63,000원",40668
53,54위,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],무신사 스탠다드,"16,900원",58604
54,55위,마스터 구스다운 숏패딩 -블랙-,집시,"189,000원",16548
55,56위,베이직 스몰로고 숏패딩 NY (Black),엠엘비,"289,000원",21673
56,57위,아크 블랙 메신저백,하 아카이브,"79,000원",94472
57,58위,BW 아미 - 화이트:그레이 / HP5515,아디다스,"111,200원",13556
58,59위,세미 와이드 히든 밴딩 슬랙스 [블랙],무신사 스탠다드,"39,900원",76116
59,60위,데일리 라운드 니트 - 6 COLOR,수아레,"39,900원",43218
60,61위,Deep One Tuck Sweat Pants [Black],제로,"39,000원",34219
61,62위,오리지널 윈터 뮬 - 5color,락피쉬웨더웨어,"57,800원",22731
62,63위,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],무신사 스탠다드,"33,915원",97584
63,64위,[세트] 베이직 니트 체크 머플러 - 21COLOR,오드스튜디오,"49,000원",12459
64,65위,125CM 슈퍼 롱 오버핏 더블 코트 블랙,어반드레스,"112,800원",9939
65,66위,우먼즈 캐시미어 블렌드 발마칸 로브 코트 [블랙],무신사 스탠다드,"209,900원",13674
66,67위,램스울 크루넥 오버니트(블랙),테이크이지,"37,800원",42265
67,68위,척 70 클래식  블랙 162058C,컨버스,"85,500원",95776
68,69위,솔리드 무톤 자켓 (블랙화이트),도프제이슨,"158,000원",19194
69,70위,[DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_블랙,코드그라피,"99,900원",27935
70,71위,[기모] Geppetto 자수 후드 크림,꼼파뇨,"46,800원",27174
71,72위,XT-6 - 화이트:화이트:루나 락 / L41252900,살로몬 스포츠스타일,"260,000원",7603
72,73위,(23SS) WARM+ UP QUILTING JACKET BLACK,예일,"69,300원",36040
73,74위,와이드 데님 팬츠 (DEEP GREY),토피,"39,000원",98770
74,75위,조그 100 2 - 블랙:블랙 / TJG138-9090,아식스,"69,000원",38908
75,76위,TAG HOODIE - ASH,브라운브레스,"79,000원",37511
76,77위,Black Stardust - MOD1w,모드나인,"121,500원",27751
77,78위,[니티드X깡스타일리스트] 코튼 미니멀 라운드 니트 BLACK,니티드,"59,400원",13787
78,79위,코튼 워셔블 하찌 하프집업 니트_5 COLOR,키뮤어,"56,900원",63882
79,80위,프리미엄 캐시미어 머플러 [IVORY],247 서울,"33,900원",29062
80,81위,TAG HOODIE - BLACK,브라운브레스,"79,000원",54567
81,82위,NM2DN51A_빅샷,노스페이스,"135,000원",44900
82,83위,오버핏 솔리드 무톤 자켓 (블랙),도프제이슨,"168,000원",7486
83,84위,솔리드 스웨이드 무톤 자켓 (블랙),도프제이슨,"158,000원",11226
84,85위,유니섹스 세미 와이드 밴딩 슬랙스,후러브스아트,"33,900원",214487
85,86위,왈라비 구스다운 롱패딩점퍼 ver.2 블랙,아키클래식,"169,000원",3190
86,87위,[리뉴얼 ver.][3M 신슐레이트]오리지널 M-1965 피쉬테일 파카_Vintage Black,라퍼지스토어,"99,900원",37266
87,88위,울리치 오버 맥 코트_Black,라퍼지스토어,"99,900원",14959
88,89위,하이 넥 다운 점퍼 샤이니 블랙,플랙,"199,000원",4751
89,90위,올드스쿨 플랫폼 - 블랙:화이트 / VN0A3B3UY281,반스,"89,000원",40536
90,91위,와이드 데님 팬츠 (LIGHT BLUE),토피,"39,000원",127258
91,92위,[짱구대디X수아레] 알파카 라운드 니트 - 5 COLOR,수아레,"109,000원",6729
